row_id,Game Name,Discount,Price,Rating,Release Date
147,We Love Katamari REROLL+ Royal Reverie,-75%,"R$ 30,62",90.96%,Jun 2023
148,SLUDGE LIFE 2,-40%,"R$ 28,19",90.83%,Jun 2023
149,Islets,-50%,"R$ 29,99",90.74%,Aug 2022
150,Word Game,-20%,"R$ 52,79",90.58%,Jan 2022
151,Last Evil,-50%,"R$ 10,34",90.37%,Jun 2020
152,Blasphemous 2,-50%,"R$ 54,50",90.21%,Aug 2023
153,Crusader Kings III,-70%,"R$ 53,99",90.06%,Sep 2020
154,Golden Treasure: The Great Green,-50%,"R$ 18,99",90.03%,Jun 2019
155,Citizen Sleeper,-60%,"R$ 23,99",89.97%,May 2022
156,Ghostrunner,-70%,"R$ 29,70",89.92%,Oct 2020
157,Weird RPG,-50%,"R$ 11,39",89.72%,Oct 2022
158,Ys IX: Monstrum Nox,-50%,"R$ 81,00",89.70%,Jul 2021
159,Car Mechanic Simulator 2018,-90%,"R$ 5,99",89.65%,Jul 2017
160,Ys: The Oath in Felghana,-70%,"R$ 8,39",89.57%,Mar 2012
161,WHITE ALBUM: Memories like Falling Snow,-30%,"R$ 51,79",89.56%,Aug 2023
162,My Vow to My Liege,-40%,"R$ 12,41",89.52%,Sep 2020
163,Xuan-Yuan Sword: The Scar of Sky,-50%,"R$ 19,50",89.46%,Aug 2021
164,Crimson Snow (2023),-21%,"R$ 11,44",89.44%,Mar 2023
165,The Heroes Around Me,-20%,"R$ 18,80",89.29%,Jun 2024
166,Overcooked! 2,-75%,"R$ 14,97",89.27%,Aug 2018
167,Okami HD,-50%,"R$ 19,99",89.27%,Dec 2017
168,The Last Spell,-40%,"R$ 44,39",89.25%,Mar 2023
169,黑色花与红山羊 / Black Datura & Red Goat,-50%,"R$ 12,79",89.22%,Aug 2020
170,Farlands,-10%,"R$ 20,69",89.05%,Jul 2024
171,Romance of the Three Kingdoms XI with Power Up Kit,-66%,"R$ 25,66",89.02%,Jan 2018
172,Return to Monkey Island,-50%,"R$ 36,99",89.02%,Sep 2022
173,Dead Space,-70%,"R$ 74,70",89.01%,Jan 2023
174,Dōkyūsei: Bangin' Summer,-60%,"R$ 15,19",88.90%,Apr 2022
175,Cat God Ranch,-10%,"R$ 29,69",88.83%,Sep 2024
176,Stray Gods: The Roleplaying Musical,-30%,"R$ 62,29",88.68%,Aug 2023
177,Midnight Castle Succubus DX,-30%,"R$ 18,82",88.59%,Sep 2020
178,ULTIMATE MARVEL VS. CAPCOM 3,-70%,"R$ 16,49",88.40%,Mar 2017
179,Snow Daze: The Music of Winter Special Edition,-30%,"R$ 14,48",88.35%,Oct 2018
180,Infernax,-33%,"R$ 40,19",88.32%,Feb 2022
181,LUMINES REMASTERED,-70%,"R$ 8,69",88.24%,Jun 2018
182,CaseCracker,-50%,"R$ 10,34",88.12%,Dec 2022
183,Alina of the Arena,-35%,"R$ 18,84",87.98%,Oct 2022
184,Blaster Master Zero,-50%,"R$ 17,74",87.90%,Jun 2019
185,Yomawari: Midnight Shadows,-80%,"R$ 11,99",87.76%,Oct 2017
186,Ultra Street Fighter® IV,-87%,"R$ 7,79",87.70%,Aug 2014
187,Clothing Store Simulator,-25%,"R$ 29,99",87.63%,Jun 2024
188,The Wandering Village,-25%,"R$ 35,61",87.60%,Sep 2022
189,The Witcher: Enhanced Edition Director's Cut,-85%,"R$ 2,54",87.56%,Sep 2008
190,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,-75%,"R$ 19,97",87.44%,Oct 2013
191,From Glory To Goo,-20%,"R$ 23,96",87.19%,Apr 2024
192,Dragon's Dogma: Dark Arisen,-84%,"R$ 11,99",87.04%,Jan 2016
193,Assault Spy,-80%,"R$ 11,99",86.93%,Oct 2018
194,Monster Hunter: World,-67%,"R$ 32,96",86.91%,Aug 2018
195,Azure Striker Gunvolt 2,-60%,"R$ 15,19",86.91%,Jun 2020
196,The Shell Part I: Inferno,-30%,"R$ 41,99",86.89%,Jul 2023
197,Robolife-Days with Aino,-30%,"R$ 20,29",86.86%,Jun 2021
198,HAAK,-40%,"R$ 20,99",86.82%,Aug 2022
199,Thronebreaker: The Witcher Tales,-80%,"R$ 11,19",86.75%,Nov 2018
200,FATE: The Traitor Soul,-50%,"R$ 8,29",86.73%,Sep 2009
201,High School Odyssey,-30%,"R$ 13,01",86.68%,Nov 2023
202,Disgaea 2 PC,-80%,"R$ 11,99",86.66%,Jan 2017
203,Marlow Briggs and the Mask of Death,-80%,"R$ 2,09",86.57%,Sep 2013
204,Ys VIII: Lacrimosa of DANA,-65%,"R$ 37,79",86.56%,Apr 2018
205,Thief Simulator,-90%,"R$ 5,99",86.52%,Nov 2018
206,This Bed We Made,-40%,"R$ 44,39",86.37%,Nov 2023
207,MARSUPILAMI - HOOBADVENTURE,-90%,"R$ 5,29",86.33%,Nov 2021
208,Let's Build a Zoo,-60%,"R$ 15,19",86.29%,Nov 2021
209,Train Valley,-85%,"R$ 2,99",86.25%,Sep 2015
210,The Saboteur™,-50%,"R$ 24,50",86.22%,Mar 2024
211,"Haiku, the Robot",-50%,"R$ 18,99",86.18%,Apr 2022
212,KeyWe,-66%,"R$ 16,14",86.17%,Aug 2021
213,FOCUS on YOU,-70%,"R$ 22,64",86.13%,Jul 2019
214,HighFleet,-35%,"R$ 37,69",86.04%,Jul 2021
215,House of the Dying Sun,-70%,"R$ 11,09",86.01%,Nov 2016
216,Control Ultimate Edition,-80%,"R$ 25,80",85.96%,Aug 2020
217,killer7,-75%,"R$ 14,99",85.90%,Nov 2018
218,The Descendant,-90%,"R$ 2,79",85.85%,Mar 2016
219,Factory Town Idle,-50%,"R$ 8,49",85.72%,Jan 2024
220,XIII - Classic,-90%,"R$ 3,99",85.68%,Nov 2003
221,Garfield Kart,-80%,"R$ 2,09",85.58%,Nov 2013
222,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,-75%,"R$ 19,97",85.48%,Aug 2017
223,F.I.S.T.: Forged In Shadow Torch,-65%,"R$ 31,49",85.33%,Oct 2021
224,Crysis 3 Remastered,-50%,"R$ 28,49",85.32%,Nov 2022
225,Disgaea 5 Complete,-75%,"R$ 26,99",85.13%,Oct 2018
226,Looking Up I See Only A Ceiling,-25%,"R$ 5,24",85.11%,Mar 2023
227,Ys I & II Chronicles+,-70%,"R$ 8,39",85.09%,Feb 2013
228,Corpse Party,-70%,"R$ 8,39",84.90%,Apr 2016
229,The 25th Ward: The Silver Case,-80%,"R$ 11,99",84.82%,Mar 2018
230,Grand Mountain Adventure: Wonderlands,-70%,"R$ 11,39",84.82%,Mar 2022
231,The Legend of Nayuta: Boundless Trails,-30%,"R$ 75,59",84.81%,Dec 2021
232,DAEMON X MACHINA,-60%,"R$ 37,59",84.65%,Feb 2020
233,Disgaea PC,-80%,"R$ 11,99",84.36%,Feb 2016
234,Castle Of Alchemists,-55%,"R$ 6,74",84.01%,May 2023
235,Virtual Rides 3 - Funfair Simulator,-70%,"R$ 22,19",84.00%,Mar 2017
236,Rhapsody: A Musical Adventure,-40%,"R$ 35,99",83.97%,Aug 2022
237,Blazing Chrome,-70%,"R$ 14,17",83.91%,Jul 2019
238,FATE: The Cursed King,-50%,"R$ 8,29",83.78%,Nov 2014
239,Disgaea 4 Complete+,-70%,"R$ 32,39",83.73%,Sep 2020
240,Réussir : Code de la Route - Nouvelle Édition (French Highway Code),-90%,"R$ 3,99",83.06%,Nov 2019
241,Melon Journey: Bittersweet Memories,-70%,"R$ 14,09",82.85%,Apr 2023
242,Windjammers 2,-55%,"R$ 26,99",82.44%,Jan 2022
243,SENRAN KAGURA Peach Ball,-70%,"R$ 17,39",82.38%,Aug 2019
244,We Were Here Together,-62%,"R$ 15,95",82.37%,Oct 2019
245,Blacksad: Under the Skin,-75%,"R$ 12,47",82.25%,Nov 2019
246,AKIBA'S TRIP: Undead ＆ Undressed,-60%,"R$ 15,19",82.17%,May 2015
247,Corpse Party: Book of Shadows,-50%,"R$ 14,49",82.02%,Oct 2018
248,Wonder Boy: The Dragon's Trap,-70%,"R$ 17,99",81.75%,Jun 2017
249,Portal Knights,-70%,"R$ 11,09",81.67%,May 2017
250,CRYMACHINA,-35%,"R$ 105,30",81.54%,Oct 2023
251,Agatha Christie - Murder on the Orient Express,-60%,"R$ 43,19",81.19%,Oct 2023
252,Toki,-90%,"R$ 3,79",81.17%,Jun 2019
253,SENRAN KAGURA Reflexions,-70%,"R$ 6,20",81.08%,Jun 2019
254,Yomawari: Lost in the Dark,-50%,"R$ 49,99",81.08%,Oct 2022
255,Corpse Party: Sweet Sachiko's Hysteric Birthday Bash,-60%,"R$ 15,19",81.06%,Apr 2019
256,Makai Kingdom: Reclaimed and Rebound,-40%,"R$ 35,99",80.94%,May 2022
257,Fairy Bloom Freesia,-60%,"R$ 6,39",80.70%,Oct 2012
258,Vengeful Guardian: Moonrider,-35%,"R$ 34,11",80.70%,Jan 2023
259,Labyrinth of Galleria: The Moon Society,-40%,"R$ 80,99",80.45%,Feb 2023
260,The Smurfs - Mission Vileaf,-85%,"R$ 7,94",80.17%,Oct 2021
261,Fallback,-90%,"R$ 1,99",80.14%,Oct 2019
262,A Rose in the Twilight,-80%,"R$ 11,99",80.13%,Apr 2017
263,No More Heroes 3,-65%,"R$ 37,79",79.65%,Oct 2022
264,Phantom Brave PC,-80%,"R$ 11,99",79.52%,Jul 2016
265,Dungeons 2,-75%,"R$ 22,25",79.30%,Apr 2015
266,Disgaea 7: Vows of the Virtueless,-25%,"R$ 121,50",79.21%,Oct 2023
267,Kandagawa Jet Girls,-70%,"R$ 22,64",79.16%,Aug 2020
268,Young Souls,-60%,"R$ 29,59",78.95%,Mar 2022
269,Agatha Christie - The ABC Murders,-85%,"R$ 4,19",78.78%,Feb 2016
270,Grow: Song of the Evertree,-60%,"R$ 41,56",78.67%,Nov 2021
271,Not Tonight 2,-75%,"R$ 9,49",78.61%,Feb 2022
272,UFO ROBOT GRENDIZER – The Feast of the Wolves,-60%,"R$ 43,19",78.40%,Nov 2023
273,Yesterday Origins,-90%,"R$ 2,89",78.32%,Nov 2016
274,Still Life,-85%,"R$ 2,39",78.16%,Jun 2005
275,SENRAN KAGURA Peach Beach Splash,-70%,"R$ 17,39",78.00%,Mar 2018
276,Song Of The Prairie,-30%,"R$ 41,99",77.73%,Aug 2024
277,Return to Mysterious Island,-85%,"R$ 2,39",77.61%,Mar 2014
278,Seablip,-30%,"R$ 32,89",77.47%,May 2024
279,FATE: Undiscovered Realms,-50%,"R$ 8,29",76.93%,Aug 2008
280,Zwei: The Arges Adventure,-70%,"R$ 8,69",76.89%,Jan 2018
281,Alfred Hitchcock - Vertigo,-80%,"R$ 10,59",76.86%,Dec 2021
282,Alice - Behind the Mirror,-60%,"R$ 1,79",76.82%,Apr 2018
283,Devilated,-40%,"R$ 35,99",76.35%,Oct 2024
284,Chariot,-90%,"R$ 2,79",76.26%,Nov 2014
285,Labyrinth of Refrain: Coven of Dusk,-80%,"R$ 26,99",76.22%,Sep 2018
286,The Alliance Alive HD Remastered,-80%,"R$ 21,59",76.20%,Jan 2020
287,No More Heroes,-50%,"R$ 49,99",75.90%,Jun 2021
288,Pang Adventures,-80%,"R$ 6,59",75.72%,Apr 2016
289,KUNAI,-75%,"R$ 13,12",75.62%,Feb 2020
290,STORY OF SEASONS: A Wonderful Life,-50%,"R$ 64,99",75.20%,Jun 2023
291,The Last Express Gold Edition,-80%,"R$ 4,70",75.15%,Mar 1997
292,Flashback,-90%,"R$ 2,06",74.86%,Nov 2018
293,Rune Factory 5,-60%,"R$ 43,19",74.80%,Jul 2022
294,Home Design 3D,-90%,"R$ 1,99",74.71%,Jan 2015
295,Cuisineer,-30%,"R$ 55,99",74.67%,Nov 2023
296,Yomawari: Night Alone,-80%,"R$ 11,99",74.60%,Oct 2016
297,Necrosmith 2,-50%,"R$ 13,24",74.60%,Mar 2024
298,Criminal Girls: Invite Only,-80%,"R$ 11,99",74.24%,Jan 2017
299,Headquarters: World War II,-35%,"R$ 70,19",73.95%,Apr 2024
300,Agatha Christie - Hercule Poirot: The First Cases,-85%,"R$ 7,94",73.70%,Sep 2021
301,Darkstone,-80%,"R$ 2,09",73.40%,Jul 1999
302,The Last of Us™ Part I,-40%,"R$ 149,94",73.33%,Mar 2023
303,Dark Devotion,-75%,"R$ 14,99",73.20%,Apr 2019
304,Asterix & Obelix XXL 2,-90%,"R$ 5,29",73.15%,Nov 2018
305,PSYCHO-PASS: Mandatory Happiness,-80%,"R$ 11,99",72.98%,Apr 2017
306,Tom Clancy’s The Division® 2,-75%,"R$ 42,49",72.86%,Jan 2023
307,Corpse Party: Blood Drive,-60%,"R$ 15,19",72.78%,Oct 2019
308,UPPERS,-75%,"R$ 14,49",72.61%,Oct 2020
309,Operation Babel: New Tokyo Legacy,-80%,"R$ 11,99",72.30%,May 2017
310,Asterix & Obelix XXL: Romastered,-90%,"R$ 5,29",72.26%,Oct 2020
311,Might & Magic: Clash of Heroes - Definitive Edition,-40%,"R$ 32,99",72.24%,Jul 2023
312,AKIBA'S TRIP: Hellbound & Debriefed,-60%,"R$ 23,99",72.04%,Jul 2021
313,Soul Nomad & the World Eaters,-50%,"R$ 39,99",71.78%,Aug 2021
314,Pharaoh™: A New Era,-35%,"R$ 44,19",71.46%,Feb 2023
315,Amerzone: The Explorer’s Legacy (1999),-93%,"R$ 2,79",71.31%,Aug 2001
316,Voyage: Journey to the Moon,-80%,"R$ 2,09",71.30%,Aug 2005
317,R-Type Final 2,-50%,"R$ 53,99",71.25%,Apr 2021
318,Touhou: New World,-60%,"R$ 35,99",70.52%,Jul 2023
319,Langrisser I & II,-70%,"R$ 40,49",70.49%,Mar 2020
320,MONARK,-50%,"R$ 89,99",69.79%,Feb 2022
321,Tom Clancy’s The Division™,-85%,"R$ 13,49",69.48%,Mar 2016
322,The Caligula Effect: Overdose,-80%,"R$ 26,99",69.42%,Mar 2019
323,Corpse Party 2: Dead Patient,-30%,"R$ 14,48",69.07%,Oct 2019
324,Cross Blitz,-33%,"R$ 40,19",68.85%,Nov 2023
325,No More Heroes 2: Desperate Struggle,-50%,"R$ 49,99",68.24%,Jun 2021
326,Garfield Lasagna Party,-75%,"R$ 14,49",68.18%,Nov 2022
327,SHOWTIME 2073,-50%,"R$ 2,14",68.00%,Feb 2016
328,Karateka,-80%,"R$ 2,75",67.10%,Dec 2012
329,htoL#NiQ: The Firefly Diary,-80%,"R$ 6,59",66.96%,May 2016
330,Silent Hope,-70%,"R$ 41,99",66.76%,Oct 2023
331,Sinking Island,-85%,"R$ 2,39",66.71%,Oct 2007
332,Bullet Witch,-70%,"R$ 8,69",66.61%,Apr 2018
333,DEADCRAFT,-75%,"R$ 14,99",66.52%,May 2022
334,Bet On Soldier,-85%,"R$ 2,39",65.98%,Sep 2005
335,Curse: The Eye of Isis,-70%,"R$ 1,88",65.97%,Oct 2003
336,Chicago 1930 : The Prohibition,-80%,"R$ 2,09",65.91%,Feb 2004
337,Disaster Report 4: Summer Memories,-75%,"R$ 40,50",65.47%,Apr 2020
338,Dustborn,-50%,"R$ 57,49",65.18%,Aug 2024
339,Nostradamus: The Last Prophecy,-80%,"R$ 2,09",64.87%,Apr 2014
340,Stranger of Sword City,-80%,"R$ 11,99",64.81%,Jun 2016
341,Gear.Club Unlimited 2 - Ultimate Edition,-90%,"R$ 6,69",64.49%,Dec 2021
342,ServiceIT: You can do IT,-52%,"R$ 30,94",64.40%,Mar 2024
343,Haegemonia: The Solon Heritage,-80%,"R$ 2,09",63.78%,May 2014
344,Operation Abyss: New Tokyo Legacy,-80%,"R$ 11,99",63.44%,Mar 2017
345,Robin Hood: The Legend of Sherwood,-85%,"R$ 2,39",62.98%,Nov 2002
346,Iron Storm,-66%,"R$ 2,13",62.56%,Oct 2002
347,Return to Mysterious Island 2,-85%,"R$ 2,39",62.30%,Mar 2014
348,Disgaea 6 Complete,-50%,"R$ 81,00",61.89%,Jun 2022
349,Cladun X2,-80%,"R$ 6,59",61.39%,Aug 2012
350,Birthdays the Beginning,-80%,"R$ 11,99",61.32%,May 2017
